#multi:
;Hantel A;;;;;;;Hantel B;;;;;;;Masse C;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,217;2,093E-2;2,245E-2;-5,204E-2;0,461;-9,680E-4;8,583E-3;2,006E-3;-4,451E-2;2,046E-2;-1,752E-2;2,611E-2;-3,259E-4;4,856E-4;9,195E-6;2,978E-2;-2,309E-2;6,308E-2;0,232;1,162E-3;4,281E-3;5,341E-4
0,233;1,969E-2;3,323E-2;-0,187;0,940;-3,481E-3;1,748E-2;8,537E-3;-4,502E-2;2,124E-2;2,344E-3;8,140E-2;4,361E-5;1,514E-3;6,167E-5;3,157E-2;-2,280E-2;0,152;3,627E-2;2,792E-3;6,680E-4;2,237E-4
0,250;1,469E-2;5,377E-2;-0,260;0,907;-4,829E-3;1,687E-2;8,280E-3;-4,443E-2;2,317E-2;6,300E-2;0,108;1,172E-3;2,002E-3;1,447E-4;3,483E-2;-2,188E-2;0,148;4,132E-2;2,720E-3;7,611E-4;2,166E-4
0,267;1,104E-2;6,346E-2;-0,229;0,571;-4,269E-3;1,062E-2;3,523E-3;-4,292E-2;2,483E-2;0,117;0,106;2,182E-3;1,977E-3;2,331E-4;3,649E-2;-2,143E-2;9,789E-2;2,653E-2;1,803E-3;4,888E-4;9,474E-5
0,283;7,045E-3;7,281E-2;-0,414;0,787;-7,696E-3;1,464E-2;7,356E-3;-4,052E-2;2,671E-2;0,240;0,213;4,464E-3;3,967E-3;9,587E-4;3,809E-2;-2,100E-2;0,148;3,643E-2;2,721E-3;6,710E-4;2,131E-4
0,300;-2,755E-3;8,971E-2;-0,457;0,731;-8,509E-3;1,360E-2;6,921E-3;-3,492E-2;3,194E-2;0,272;0,274;5,057E-3;5,090E-3;1,384E-3;4,142E-2;-2,021E-2;0,155;3,847E-2;2,850E-3;7,087E-4;2,341E-4
0,317;-8,205E-3;9,718E-2;-0,337;0,429;-6,262E-3;7,975E-3;2,764E-3;-3,146E-2;3,583E-2;0,215;0,247;4,008E-3;4,597E-3;1,000E-3;4,325E-2;-1,972E-2;0,104;2,338E-2;1,910E-3;4,307E-4;1,041E-4
0,333;-1,398E-2;0,104;-0,525;0,541;-9,769E-3;1,006E-2;5,283E-3;-2,774E-2;4,018E-2;0,342;0,457;6,362E-3;8,508E-3;3,034E-3;4,487E-2;-1,943E-2;0,142;3,632E-2;2,619E-3;6,690E-4;1,983E-4
0,350;-2,571E-2;0,115;-0,528;0,475;-9,813E-3;8,836E-3;4,687E-3;-2,006E-2;5,108E-2;0,340;0,524;6,330E-3;9,755E-3;3,635E-3;4,799E-2;-1,851E-2;0,139;3,620E-2;2,554E-3;6,669E-4;1,892E-4
0,367;-3,156E-2;0,120;-0,492;0,346;-9,157E-3;6,427E-3;3,365E-3;-1,640E-2;5,766E-2;0,322;0,646;5,984E-3;1,202E-2;4,849E-3;4,949E-2;-1,823E-2;0,138;3,001E-2;2,547E-3;5,527E-4;1,844E-4
0,383;-4,212E-2;0,127;-0,458;0,277;-8,519E-3;5,144E-3;2,662E-3;-9,331E-3;7,263E-2;0,300;0,703;5,578E-3;1,307E-2;5,432E-3;5,260E-2;-1,751E-2;0,142;2,990E-2;2,624E-3;5,508E-4;1,952E-4
0,400;-4,683E-2;0,129;-0,271;0,129;-5,034E-3;2,403E-3;8,364E-4;-6,402E-3;8,109E-2;0,154;0,527;2,873E-3;9,805E-3;2,806E-3;5,424E-2;-1,723E-2;9,647E-2;2,326E-2;1,777E-3;4,284E-4;9,069E-5
0,417;-5,114E-2;0,131;-0,328;0,144;-6,101E-3;2,669E-3;1,192E-3;-4,182E-3;9,020E-2;0,155;0,863;2,890E-3;1,605E-2;7,147E-3;5,581E-2;-1,673E-2;0,135;3,964E-2;2,479E-3;7,302E-4;1,813E-4
