Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
16.510004	2.890625	3.1298828125
16.511996	2.705078125	2.294921875
16.513996	1.5478515625	1.8212890625
16.515996	3.33984375	3.30078125
16.517996	1.97265625	1.6943359375
16.519996	2.1142578125	2.4853515625
16.521996	3.2861328125	2.9833984375
16.524004	1.4794921875	1.4892578125
16.526	2.8515625	3.1103515625
16.528004	2.7197265625	2.3193359375
16.53	1.5380859375	1.8115234375
16.532004	3.3447265625	3.310546875
16.534	1.9775390625	1.6943359375
16.536004	2.1142578125	2.4951171875
16.538	3.2861328125	2.9931640625
16.540004	1.4794921875	1.494140625
16.542	2.861328125	3.1103515625
16.544004	2.7001953125	2.2998046875
16.546	1.5380859375	1.81640625
16.548004	3.349609375	3.310546875
16.55	1.962890625	1.6796875
16.552004	2.1435546875	2.5146484375
16.553996	3.2666015625	2.9638671875
16.555996	1.484375	1.4990234375
16.557996	2.900390625	3.1591796875
16.559996	2.67578125	2.2607421875
16.561996	1.5771484375	1.8701171875
16.563996	3.3642578125	3.3056640625
16.566004	1.8994140625	1.6455078125
16.568	2.197265625	2.578125
16.570004	3.232421875	2.9052734375
16.572	1.4501953125	1.50390625
16.574004	2.978515625	3.18359375
16.576	2.5830078125	2.1923828125
16.578004	1.6259765625	1.9384765625
16.58	3.37890625	3.291015625
16.582004	1.8115234375	1.5966796875
16.584	2.3046875	2.6708984375
16.586004	3.1689453125	2.8076171875
16.588	1.4453125	1.533203125
16.590004	3.076171875	3.2373046875
16.592	2.470703125	2.0654296875
16.594004	1.708984375	2.0556640625
16.595996	3.3935546875	3.2470703125
16.597996	1.71875	1.552734375
16.599996	2.4462890625	2.7978515625
16.601996	3.0712890625	2.685546875
16.603996	1.435546875	1.591796875
16.605996	3.173828125	3.28125
16.607996	2.294921875	1.9287109375
16.610004	1.8310546875	2.2021484375
16.612	3.37890625	3.1591796875
16.614004	1.6015625	1.494140625
16.616	2.6318359375	2.939453125
16.618004	2.9052734375	2.5146484375
16.62	1.4697265625	1.69921875
16.622004	3.2861328125	3.310546875
16.624	2.099609375	1.7822265625
16.626004	2.01171875	2.3974609375
16.628	3.330078125	3.046875
16.630004	1.4990234375	1.484375
