Baseline,,Sample,,Sample2,,Sample3,,Sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
451.0505676,3.753481678E-6,451.0505676,0.171063453,451.0505676,0.1262068599,451.0505676,0.1079545021,451.0505676,0.09446195513,
449.9788513,-4.907702169E-5,449.9788513,0.1624631733,449.9788513,0.1198733076,449.9788513,0.1024646908,449.9788513,0.08960611373,
449.0600891,-1.811979928E-5,449.0600891,0.1569072455,449.0600891,0.1157551631,449.0600891,0.09896103293,449.0600891,0.08664400876,
447.9879761,-0.0001054466338,447.9879761,0.1492077112,447.9879761,0.1100916639,447.9879761,0.09411019832,447.9879761,0.08237048239,
447.0688477,-8.557058027E-5,447.0688477,0.1418785304,447.0688477,0.1047298908,447.0688477,0.08950205147,447.0688477,0.07835179567,
445.9963379,-0.0001201978012,445.9963379,0.1349040568,445.9963379,0.09961804748,445.9963379,0.08514391631,445.9963379,0.07463410497,
444.923645,2.648215377E-5,444.923645,0.1277073622,444.923645,0.09424624592,444.923645,0.08057462424,444.923645,0.07050648332,
444.0039978,-3.799893966E-5,444.0039978,0.1219474301,444.0039978,0.09007227421,444.0039978,0.07702548802,444.0039978,0.06744556129,
442.9309082,-1.48065219E-5,442.9309082,0.1150515974,442.9309082,0.08511248231,442.9309082,0.07255589217,442.9309082,0.06352327764,
442.0109558,-5.922305718E-5,442.0109558,0.108864218,442.0109558,0.0804919228,442.0109558,0.06866816431,442.0109558,0.0601926744,
440.937439,-3.245978951E-5,440.937439,0.1020541936,440.937439,0.07550491393,440.937439,0.0643908307,440.937439,0.05648026615,
440.0171509,-0.0001403310453,440.0171509,0.09662570804,440.0171509,0.0712787807,440.0171509,0.06089193001,440.0171509,0.05338714644,
438.9432678,-0.0001581344695,438.9432678,0.09047567099,438.9432678,0.06700263172,438.9432678,0.05697335303,438.9432678,0.05016214401,
438.022644,-0.0001218540419,438.022644,0.08648539335,438.022644,0.06390070915,438.022644,0.05451892689,438.022644,0.04786824435,
436.9483948,-4.426274973E-5,436.9483948,0.08152129501,436.9483948,0.06030618399,436.9483948,0.05158414319,436.9483948,0.04524764791,
436.0274353,-0.0001150220123,436.0274353,0.0767756626,436.0274353,0.05681704357,436.0274353,0.04861474037,436.0274353,0.04253340885,
434.9527893,-2.112243601E-5,434.9527893,0.07252328098,434.9527893,0.05360718071,434.9527893,0.0456590876,434.9527893,0.04023902118,
434.0315247,-8.179888937E-6,434.0315247,0.06911659241,434.0315247,0.05107724667,434.0315247,0.0435725078,434.0315247,0.03838738054,
432.9564819,-0.0001392441918,432.9564819,0.06560780853,432.9564819,0.04850933701,432.9564819,0.04155797139,432.9564819,0.0363006629,
432.0348816,-0.0001033762528,432.0348816,0.06315333396,432.0348816,0.04671579227,432.0348816,0.03981474787,432.0348816,0.03496481851,
430.9594727,-0.000119783741,430.9594727,0.05971296877,430.9594727,0.04430643097,430.9594727,0.03776276857,430.9594727,0.03314001113,
430.0375366,-6.67852828E-6,430.0375366,0.05723156407,430.0375366,0.0423514992,430.0375366,0.03615988791,430.0375366,0.0318140313,
428.9617615,-9.783793939E-5,428.9617615,0.05427358672,428.9617615,0.04027594253,428.9617615,0.03424809873,428.9617615,0.0302017238,
428.0395203,-0.0001066888581,428.0395203,0.05240098387,428.0395203,0.03875515237,428.0395203,0.03311922401,428.0395203,0.02913775481,
426.9633484,-9.059144213E-5,426.9633484,0.05026608706,426.9633484,0.03726508468,426.9633484,0.03183043748,426.9633484,0.02806445397,
426.0407715,9.318958405E-7,426.0407715,0.04873487726,426.0407715,0.03611009568,426.0407715,0.03074174561,426.0407715,0.02711956576,
424.9642334,-0.0001012023422,424.9642334,0.04700876027,424.9642334,0.03479317576,424.9642334,0.02968022227,424.9642334,0.02622256614,
424.0413513,-0.0001223716099,424.0413513,0.04568899423,424.0413513,0.03387314826,424.0413513,0.02890503593,424.0413513,0.02540622838,
422.964447,1.07169235E-5,422.964447,0.04469514638,422.964447,0.03312746435,422.964447,0.02820102684,422.964447,0.02491386235,
422.0412292,-0.0001186968293,422.0412292,0.04387350008,422.0412292,0.03252760693,422.0412292,0.02772239782,422.0412292,0.02446416952,
420.9639587,-0.0001436951279,420.9639587,0.04305983707,420.9639587,0.0319259055,420.9639587,0.02721720189,420.9639587,0.02398427762,
420.0404358,1.698152664E-5,420.0404358,0.04246284068,420.0404358,0.0314690657,420.0404358,0.02679799311,420.0404358,0.02371157147,
418.9627991,-0.0002007769217,418.9627991,0.04184810445,418.9627991,0.03095590882,418.9627991,0.0263541583,418.9627991,0.02335571311,
418.0389404,-0.0001904789533,418.0389404,0.04148704559,418.0389404,0.03063370474,418.0389404,0.02624582872,418.0389404,0.02310234867,
416.9609375,-8.189547952E-5,416.9609375,0.04130683094,416.9609375,0.03042236716,416.9609375,0.02588225715,416.9609375,0.02299826406,
416.0367737,-0.0001118129876,416.0367737,0.04084405676,416.0367737,0.03026322275,416.0367737,0.02585458942,416.0367737,0.02279423736,
414.9584045,-0.0001491293369,414.9584045,0.04070569575,414.9584045,0.03004407696,414.9584045,0.02560415678,414.9584045,0.02267353609,
414.0339355,-0.0002047097514,414.0339355,0.04043572769,414.0339355,0.03003994375,414.0339355,0.02554369718,414.0339355,0.02243455127,
412.9552002,-2.029412462E-5,412.9552002,0.04041044414,412.9552002,0.02981325611,412.9552002,0.02551462501,412.9552002,0.02240317874,
412.0303955,-5.746304669E-5,412.0303955,0.04040558636,412.0303955,0.0297698956,412.0303955,0.02544157952,412.0303955,0.02248239145,
410.9513245,-0.0001100531954,410.9513245,0.04020494223,410.9513245,0.02974979766,410.9513245,0.02526655421,410.9513245,0.02246380039,
410.0262146,-0.0001242866274,410.0262146,0.04028465971,410.0262146,0.02962595597,410.0262146,0.02523324639,410.0262146,0.02218736149,
408.9467468,-0.000218008674,408.9467468,0.04021687061,408.9467468,0.02983219363,408.9467468,0.02518869564,408.9467468,0.02230097912,
408.0213623,-2.971607501E-5,408.0213623,0.0404237099,408.0213623,0.0297770761,408.0213623,0.02542481013,408.0213623,0.02240958437,
406.9415283,1.812018127E-7,406.9415283,0.04048224166,406.9415283,0.02988168783,406.9415283,0.02555251122,406.9415283,0.02260934003,
406.0158386,2.630094059E-5,406.0158386,0.04038839787,406.0158386,0.02980704606,406.0158386,0.0254320018,406.0158386,0.02246112935,
404.9356689,-0.0001684849703,404.9356689,0.04036811367,404.9356689,0.02978034876,404.9356689,0.02525061369,404.9356689,0.02241004631,
404.0096436,-0.0001643965516,404.0096436,0.04059961066,404.0096436,0.02987797186,404.0096436,0.02560585923,404.0096436,0.02248637192,
402.9291382,-7.314758841E-5,402.9291382,0.04082844406,402.9291382,0.03018318862,402.9291382,0.02569461241,402.9291382,0.02271818556,
402.0028076,-3.722242764E-5,402.0028076,0.04098041356,402.0028076,0.03023261204,402.0028076,0.02577470429,402.0028076,0.02276703902,
401.076355,-6.274305633E-5,401.076355,0.04124813154,401.076355,0.03037411533,401.076355,0.02608859167,401.076355,0.02295912802,
399.9953003,-0.000121957557,399.9953003,0.04147144035,399.9953003,0.03058581799,399.9953003,0.02615267411,399.9953003,0.02305364795,
